标题,昵称,地区,评论内容
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,饿肚子的猫咪V,未知,单独的ai眼镜不太划得来，最好是蓝牙或星闪链接手机，靠手机的算力来运行，眼镜儿变成只是显示信息，这样首先大幅度省电，提升续航，另一方面也降低眼镜成本，加速普及。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,命运2x假面骑士,未知,如果ai眼睛能代替现在的近视镜可自主调节度数，那可就真神了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,职场老姐爱吐槽,未知,AI眼镜如果和手机合并就完美了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,依然晴天qqqq,未知,戴久了会不会像近视镜一样，眼睛越来越凸
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Java仙人,未知,rokid一用一个不吱声[藏狐]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,缺点能接受,未知,期待大疆ai眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,cafe179,未知,对于近视的我来讲，是不是可以配合适的镜片度数啊?
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,空白浪沫Zz,未知,这怎么听歌的，骨传导吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,hgjg131,未知,可惜对本来就近视的人群不方便
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,夏目ゴリラ,未知,有个疑问这些ai眼镜如果录制视频途中没电，素材会丢失吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,MCV09,未知,雷朋新出的meta gen2怎么没有人测试？meta2这些数据都摸透了，短板是续航只有4小时，meta gen2说是翻倍了但是全b站一个视频都没有
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,汪有明亮的心,未知,期末考试能用吗[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,柒柒的椰奶,未知,不插线看剧可以用多久？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,科夫纳,未知,未来的玩具
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,513爱你,未知,是不是可以实现地图ar导航那种
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,7oveKi,未知,英语考试的时候可以？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冷眼看人类,未知,教育内卷创造大量近视眼，ai眼镜对近视眼不友好，可能还强化近视(?)。其实还有许多。社会急需系统协调。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,y3t4ozzz,未知,能帮我考试吗？[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,云鹰乂飞将,未知,乐奇的导航交互挺有意思的，小米挺小巧的，我感觉各有特色
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,丘比剪刀特,未知,这个产品品类有点意思。但目前太多的不成熟了。再等个3代，带有显示屏，再说。能够查看些简单的信息。比如微信聊天，电话来电，导航，视频等那就更好了。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,pineapple_zz,未知,感觉有点重量，不过确实方便，可以拍照翻译这两点就很吸引人了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,女蛮好吃,未知,我觉得ai眼镜还有很长的路要走，至少标配镜片显示吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,码小,未知,感觉就拍照拍视频实用点
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,好哥哥阿肆,未知,ai眼睛感觉完全可以代替vr眼镜啊
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,努力学习的小汪汪,未知,ai眼镜，我还以为我看错了 还以为是ar世界变换太快
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,星星可以摘吗,未知,那眼镜充电一次可以用多久
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,碎蜗,未知,长时间佩戴会不会压鼻梁、不舒服？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,橘-子a,未知,可以翻译外语挺不错的
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小趴菜嘿嘿嘿,未知,眼镜边冲边用 看着是有点奇怪，被拴在插座上了[笑哭][笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,枫hacker,未知,可以解锁电动车之类的嘛，就比如说，乐奇帮我解锁一下前面的电动车
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,叶卡喵喵,未知,早着呢，10几年前，谷歌眼镜年年上次热搜，吹一波，但10几年后，谷歌眼镜早凉透了，Ai眼镜得再过5年后，30年，但35年才能搞好
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,优里加特林,未知,轻度，电力，使用场景都不成熟，说白了就是半成品，现在买就相当于小白鼠给研发提供充足弹药，当然不是AR不好，而是现在不好
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,怪盗懒羊羊,未知,真心感受到了科技改变生活这句话，但是AI眼镜还有很长的路要走，目前来看嘛…算是一个新奇事物…实用性如何有待评价
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,芒果蛋挞_2199,未知,这个重量多重呀！戴久了会不会晕啊？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,背刀客88,未知,感觉以后ai眼镜会代替近视眼镜，这是一个趋势[吃瓜][吃瓜]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不忘初心易受,未知,这个佩戴感受重吗，压鼻梁吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,玩偶先生请耐心,未知,考试能用吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蛮牛出笼,未知,如果未来能自主调节自适应用户的近视远视度数就牛逼了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,汪汪小狗狗,未知,也许不久之后会出台规范AI设备使用的条例了，尤其是录像和录音这两个方面
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蒲萤玖依持,未知,请大家帮帮忙
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,猫猫头选我,未知,我因为近视一直在找有其他功能性的眼镜，但是我又是高低耳戴上眼镜是歪的，也没有配套的配件真的很难受
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冬雪几时来,未知,有时间我要去体验一下
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,凯凯boos,未知,ai眼镜这个全人类语言互通的未来   就足够震撼力[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,雾绕-山空,未知,ai眼镜现在雀食是个不错的科技设备，但是现在还是用不到日常上面，也就是体验体验，现在对于大部分人来说，还是手机更实用，甚至相比于眼镜，手表的实用性也是比眼镜高的，但是现在的ai眼镜，看起来还是不错的，带上眼镜不影响颜值[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,咩咩云野,未知,小米你又出息了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不厨柚子厨茉子,未知,ai眼镜还是很有吸引力的，在各种需求方面，之前的印象都是纯花瓶
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冻干草莓真好吃,未知,感觉戴这种眼镜会让近视度数增加的更快
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,一个细节蛙,未知,ai眼镜功能丰富比如翻译，导航，健康监测而且还能帮助演讲者脱稿演讲比如小米ai眼镜佩戴舒适但是ai眼镜不得不说隐私方面还是有点隐患
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,闲人ol,未知,不能使用一整天就不考虑，近视的不想随身带两幅眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,里浪小白龙,未知,如果可以配度数就更好啦
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,地球Online职业玩家,未知,ai眼镜不是什么必要的东西，它的功能手机基本都能满足，要说方便也不见得。对于近视远视的用户，配个带度数的ai眼镜，基本上就只能自己用了。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,远方的山11,未知,支付功能微信不能用吧？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,在下-呆毛王,未知,这音质挺不错的看电影有字幕显示很方便
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,七枢灬,未知,一楼想法真不错，人的眼睛度数不是一成不变了，不仅近视的可以带，眼镜的使用寿命也能变长[星星眼]就是感觉现在眼镜还是不太普及
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,布拉琪-词,未知,智能眼镜，要是智能在近视眼远视眼的调节上下点功夫，就更厉害了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,黑魔术师,未知,雷鸟的不测评下？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,高扬-o,未知,AI眼镜目前的这些功能可以脱离手机联网使用吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,鞋拖子字,未知,Ai眼镜已经渗透入生活中了，以后也会是随处可见的配件之一吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,biubu--_,未知,小时候科幻片里的剧情还在多远的未来
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,星耀iii,未知,什么时候能够在小巧一些就好了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,避开某个时期,未知,我对AI眼镜一直很有兴趣但一直没有买有人买过吗？推荐一下？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,九亿女梦冉,未知,这镜片算是屏幕吗[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,雏田呀呀-,未知,款式好日常[doge]有点像我的近视眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,桔叶Ju,未知,这个续航怎么样，电池容量不会太小吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,集集集_,未知,我是觉得ai眼镜挺有意思的[鸣潮_好呀]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,碳烤鱼ww,未知,其实现在ai眼镜还不算很完善，还是需要蓝牙连接，还有很多生态和应用场景需要完善，只能说是未来可期的产品
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Jlhhh,未知,想到一个极限场景 当你眼镜摄像头闪烁或亮起时，别人非认为你偷拍 这个与科技本身无关但却是很痛的场景
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,龍终观,未知,外观上乐奇在穿搭上适配性高，其次小米，在拍照上乐奇的提示功能，可以更好的辅助拍摄，画面上我喜欢小米的。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,中奖了就充大会员,未知,能带着这个考试吗[吃瓜]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Quid1an,未知,这个能代替近视眼镜吗[吃瓜]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,明斯克_by,未知,如果Rokid这款眼镜能深度接入小米就好了，手持rokid，功能确实不错
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,好好学习啊v,未知,创新需要群众买单，群众又想等等再好点购买
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小狸花爱画画,未知,眼镜的音乐是外放吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,春天的燕子abc,未知,其实眼镜儿不太需要考虑音质问题吧，买这个的大部分不是为了听音乐的，算是锦上添花功能
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,请你道歉,未知,我都还没用过，好想体验一下[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,kingkany,未知,三款中产品中，更喜欢乐奇的这款，觉得更会有更多人性化的配置，最主要的能够显示内容，尤其导航功能，用着真的很爽[OK]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Awake_Lee,未知,用导航这些功能的时候需要一直开着手机吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,沐雨不是妤,未知,看了那么久，我觉得最实用的就是翻译功能[嗑瓜子]可以拿去学校吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,--无名小白--,未知,这是防偷拍用的吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,莫溺往昔忆,未知,AI眼镜未来是肯定会有的 而且现在来看大体的技术已经有了 但是真正的实用和普及还得很久
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,沙雕本雕咻咻咻,未知,感觉ai眼镜拍vlog挺好用啊，不知道内存多大
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,fvggxs,未知,眼镜腿再细一点就好看了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,红柚与白柚,未知,这个ai眼镜现在还是有点可怕，不然被偷拍了都不知道[笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,XSQ10032,未知,实用性还不太成
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,丿冰封丶千年缘,未知,感觉有点重，戴起来会不会压的鼻子耳朵不舒服？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,阿噜哒哒哒哒-,未知,以后真要像电影里演的一样了，眼神付款指日可待
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小嫊嫊,未知,可以是未来，但需要技术力上去
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,我要寻找阳光,未知,关键在于怎么解决近视眼吧，本身带了一个眼镜，ai眼镜能把这个替换就好了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,河北大学附属医院,未知,入门太难了，这种东西只会越来越贵吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,唔好系载辄发癫,未知,虽然说现阶段功能不够完善有点类似玩具，但是这个场景跟儿时幻想的未来真的越来越近了[点赞]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,混日子的老徐,未知,一方面希望能小巧一点，另一方面又希望续航能长一点，只能等电池技术再有些突破吧[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,lachen24,未知,颜值还可以 看生态融合的怎么样吧[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Alina-_-,未知,感觉还是未来可期的状态[笑哭]眼镜很重要的一点就是镜片跟镜框重量(对于高度近视的人来说，这很重要)近视度数越高，镜片越厚也越重，如果镜框跟镜片都不能足够轻量，架在鼻梁上的重量可想而知，如果在镜脚加装了微型蓝牙音箱，那会不会压耳朵，如果整副眼镜的重量太过，那一天也戴不了多久就要摘掉，根本无法日常化使用，如果还因为各种弊端导致视疲劳严重，甚至导致近视加重，那更是，得不偿失[笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不见你没事吧,未知,操控要是能更智能点就好了[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,随机出现的名字,未知,ai眼镜真的在未来会起到很大很大的作用，有很大的市场
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蜜桃乌龙泡泡水,未知,感觉现在的Ai眼镜还不是很实用，这些功能都有更好的替代，拍照比不上手机，音质比不上耳机，我本身也是戴眼镜的，但是我觉得戴眼镜很不舒服，我是能不戴就不戴
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,暗隐9,未知,电池做小续航做长就好了[doge_金箍][doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,窝窝头931,未知,有没有支持电致变色的近视镜？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,天上飞的是鱼,未知,遥记前几年业内都在吹ar眼镜，现在又成ai眼镜了[笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,萬壹ZoveyOne,未知,要是能适配散光镜片就好了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,绿提不是红色,未知,期待普及[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,路都没看到,未知,ai眼镜？要是可以自动根据佩戴者的眼睛度数调整清晰度是不是无敌了，ai的话肯定会有同声传译吧[doge][doge][doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,千兆爱婴,未知,还没手机贵，系统稳定性怎么样
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,新晋科研人小孙,未知,真的非常期待一款好用的ai眼镜，科技感十足啊
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,D1SaSTeRR,未知,有没有给近视的入用的
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,求求了中次奖吧,未知,预测一波，再过10年，ai眼镜直接普及[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小桃鼠_もも,未知,感觉现在更偏向于玩具性质的，因为很多时候手机都是手机不离身[笑哭]但是真的期待后续发展吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,别致数讯,未知,离日常长期佩戴像近视眼镜，感觉还差点距离
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,艾米酱_1,未知,目前肯定只能是玩具
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,芝芝莓莓r,未知,近视咋整？还能搞有度数的，边框再好看点就更好了 不过我感觉很难改边框 不可能太窄🤔
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Kevin_yepp,未知,感觉这款眼镜有些地方还是有待提升，希望小米越做越好[doge][doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,凛夜__3,未知,其实这种眼镜不适合长时间佩戴，对我们这种近视人群，戴这种眼镜也得在口袋里揣着自己的眼镜，还是太不方便了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,i人间忽晚,未知,可以理解为一个两千块的入门骨传导+行车记录仪+眼镜的组合吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,囬启,未知,发展成熟后能解决相当一部分问题[吃瓜]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,规划共那就和国,未知,鸟维斯，召唤巨齿龙兽[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,现在猫猫头过气了,未知,记着前几年AI眼镜更多的是出现在影视剧里，虽然现在出现的AI眼界并没有那么智能，但是未来可期[打call]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,音無弦月,未知,这东西耐不耐摔呀？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,XCalico,未知,连MKBHD这种数码一哥都说了：“等Google的”，毕竟硬件软件一起，大而不倒。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,空色のリボン,未知,框还不太好看，期待以后框架更细[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,向海不网易,未知,之前网上看人家留学生戴这种，觉得很不可思议，现在终于开始进入普通人生活了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,多年后请用一枝玫瑰纪念我,未知,感觉ai眼镜要做到实用性拉满 还要再发展五年
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,李短,未知,我本身是不近视的，是直接只要那个框没有镜片呢？还是平镜面？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,白云下的雨滴,未知,话说，这个戴上时间长了会不会感觉有点重呢？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,来B站看哈哈,未知,这眼镜能不能配度数的啊？近视远视怕是不能用哦
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,这周六只只了,未知,ai眼镜可以完全代替眼镜的作用吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,什么怎么怎么说,未知,"ai眼镜👓
雷朋Mate 2
小米ai眼镜
Rokid乐奇眼镜
眼镜盒不同，充电方式不同
乐奇配备鼻托，乐奇提供三种画面尺寸选择
ai翻译体验不相同"
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,千星染,未知,这个重量会很重吗，没戴过眼镜会不会不舒服
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蒲萤玖依持,未知,请大家多多关注一下阳光上东事件
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,转角撞豆腐,未知,不近视的人戴久了，会近视吗[捂眼]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,林下清風,未知,AI眼镜  我就喜欢钢铁侠那样式的[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,郭捷guo,未知,这个和vr眼镜是一个道理吧[doge_金箍][doge_金箍]不过方便一点
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,熈熈x,未知,从没体验过ai 眼镜，想尝试。但会不会进一步影响视力是我比较关注的
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,揽月雾山,未知,我感觉现在的AI眼镜还得玩具，功能的单一，科技还是属于画饼，日常生活使用不如掏出手机便捷，而且估计也会管制
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,新事物挖掘馆,未知,ai眼镜几千块，能够实时翻译，感觉这价格还能接受
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,阿米绥,未知,vr眼镜的技术啥时候能再提升……
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小气球打猴子,未知,玩3d游戏晕的话，戴这种眼镜是不是也容易晕？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,比奇堡中的派大星,未知,感觉ai眼镜未来应该有发展空间的，比如体积更小更轻[思考]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,爆米花抱花生和米,未知,那会新出的小米眼镜 还得电变 贼喜欢 就是电变镜不支持近视 哎  啥时候能来一款针对近视人士设计的眼镜就好了[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小鲁班迪迪,未知,小米发布会展示的 ai 眼镜功能还挺丰富的，居然可以连接小爱进行语音控制，就是不知道续航是不是短板
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,ooqels,未知,如果真能发展起来方便生活确实不错
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,芝士进我老带里,未知,戴壳一周 确实方便 就是有时候耳根会疼  适应就好了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,九泉镜花,未知,要是把3d的功能移植进去这个眼镜里面就好了[打call]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Loser废柴同学7,未知,百万的数码媒体唤醒词都不消音，把我的小爱同学唤醒了[阴险]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,mmmm25,未知,这个电量能用多久，支付功能能使用吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,刚刚发给华发新城发,未知,现在眼镜续航怎么样了？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,芒果-0,未知,这么小的东西续航多久啊[笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,阿斗的江山,未知,AI眼镜对视力的影响有评测么
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,DevllMayCry,未知,现在AI眼镜这么小了吗[来古-注意]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,bili_83838040372,未知,我就好奇沉不沉，[笑哭][笑哭][笑哭]暂时不太会购买
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,一只滋水枪,未知,是未来的一部分，但不知道未来什么时候来
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,狗子狗子耶嘿,未知,不戴眼镜的我是真不习惯
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,呈烽michale,未知,现在看来我的小米全家桶还需要一副眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,JackZz2,未知,ai眼镜吗？有啥用？[蹲蹲]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,狗蛋蛋蛋蛋a,未知,现在眼镜这么高级了 想当初以前有一个能听歌的用就很满意了  果然科技在进步啊[笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不知道叶Ali,未知,这么微型的摄像头在眼睛上画质也能这么牛批啊
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,马小马888,未知,这个镜框挺厚，会不会压耳呀
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,大怪兽ゃ,未知,感觉还是有待发展[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,柒歖666,未知,小米眼镜试了一下  感觉好棒  攒攒钱入一个
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,好好好好着呢,未知,提醒大家镜片容易脏[坂本_佛系]得经常擦，不然影响拍照和显示效果。
